Team Name,Year,Wins,Losses,Win %,Goals For (GF)
Boston Bruins,1990,44,24,0.55,299,264
Buffalo Sabres,1990,31,30,0.388,292,278
Calgary Flames,1990,46,26,0.575,344,263
Chicago Blackhawks,1990,49,23,0.613,284,211
Detroit Red Wings,1990,34,38,0.425,273,298
Edmonton Oilers,1990,37,37,0.463,272,272
Hartford Whalers,1990,31,38,0.388,238,276
Los Angeles Kings,1990,46,24,0.575,340,254
Minnesota North Stars,1990,27,39,0.338,256,266
Montreal Canadiens,1990,39,30,0.487,273,249
New Jersey Devils,1990,32,33,0.4,272,264
New York Islanders,1990,25,45,0.312,223,290
New York Rangers,1990,36,31,0.45,297,265
Philadelphia Flyers,1990,33,37,0.412,252,267
Pittsburgh Penguins,1990,41,33,0.512,342,305
Quebec Nordiques,1990,16,50,0.2,236,354
St. Louis Blues,1990,47,22,0.588,310,250
Toronto Maple Leafs,1990,23,46,0.287,241,318
Vancouver Canucks,1990,28,43,0.35,243,315
Washington Capitals,1990,37,36,0.463,258,258
Winnipeg Jets,1990,26,43,0.325,260,288
Boston Bruins,1991,36,32,0.45,270,275
Buffalo Sabres,1991,31,37,0.388,289,299
Calgary Flames,1991,31,37,0.388,296,305
Chicago Blackhawks,1991,36,29,0.45,257,236
